time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2024-11-18,2460632.7071526553,2460632.688763616,2460632.670193878,2460633.1361839157,2460633.1545918044,2460633.1731804735
2024-11-19,2460633.7071184055,2460633.6887066117,2460633.670111135,2460634.136525935,2460634.1549566872,2460634.1735711293
2024-11-20,2460634.707098946,2460634.688664544,2460634.6700435774,2460635.1368723246,2460635.1553257275,2460635.173965662
2024-11-21,2460635.7070942516,2460635.688637424,2460635.669991256,2460636.137222952,2460636.1556987525,2460636.1743638557
2024-11-22,2460636.7071042736,2460636.6886252398,2460636.6699541993,2460637.137577663,2460637.156075568,2460637.1747654737
2024-11-23,2460637.7071289406,2460637.6886279583,2460637.6699324134,2460638.1379373674,2460638.1564559564,2460638.1751702563
2024-11-24,2460638.7071681595,2460638.6886455235,2460638.669925884,2460639.1383008263,2460639.156839682,2460639.175577925
2024-11-25,2460639.707221817,2460639.6886778595,2460639.6699345736,2460640.138667803,2460640.1572264894,2460640.1759881834
2024-11-26,2460640.70728978,2460640.68872487,2460640.6699584266,2460641.1390380613,2460641.157616106,2460641.1764007173
2024-11-27,2460641.707371894,2460641.6887864377,2460641.6699973657,2460642.139411347,2460642.158009375,2460642.176815195
2024-11-28,2460642.7074679863,2460642.6888624267,2460642.6700512934,2460643.1397873894,2460643.1584052737,2460643.1772312704
2024-11-29,2460643.7075778637,2460643.68895268,2460643.6701200916,2460644.140165899,2460644.158803079,2460644.17764858
2024-11-30,2460644.707701314,2460644.689057021,2460644.670203622,2460645.140546569,2460645.159202446,2460645.178067805
2024-12-01,2460645.7078381046,2460645.6891752537,2460645.670301725,2460646.140929078,2460646.1596030183,2460646.1784885107
2024-12-02,2460646.707987987,2460646.6893071625,2460646.670414224,2460647.1413130877,2460647.1600044216,2460647.1789092845
2024-12-03,2460647.708150374,2460647.6894525164,2460647.670540921,2460648.1416982478,2460648.160406272,2460648.1793297054
2024-12-04,2460648.7083250405,2460648.6896110675,2460648.670681605,2460649.1420841967,2460649.160808175,2460649.179749345
2024-12-05,2460649.708511911,2460649.6897825575,2460649.6708360515,2460650.1424705647,2460650.16120973,2460650.180167769
2024-12-06,2460650.708710685,2460650.689966717,2460650.671004023,2460651.1428569797,2460651.1616105344,2460651.180584544
2024-12-07,2460651.708921057,2460651.690163269,2460651.6711852755,2460652.143243068,2460652.1620101854,2460652.180999237
2024-12-08,2460652.709142719,2460652.6903719343,2460652.6713795583,2460653.1436284576,2460653.1624082862,2460653.1814114237
2024-12-09,2460653.7093753596,2460653.690592429,2460653.671586617,2460654.144012784,2460654.1628044476,2460654.1818206883
2024-12-10,2460654.709618671,2460654.690824469,2460654.6718061934,2460655.144396038,2460655.163198291,2460655.1822266295
2024-12-11,2460655.7098723464,2460655.691067772,2460655.672038031,2460656.1447784924,2460656.16358945,2460656.1826288607
2024-12-12,2460656.710136085,2460656.6913220566,2460656.67228187,2460657.145158837,2460657.163977573,2460657.183027009
2024-12-13,2460657.7104095872,2460657.691587044,2460657.672537454,2460658.145536744,2460658.1643623165,2460658.183420716
2024-12-14,2460658.710692558,2460658.6918624565,2460658.6728045233,2460659.145911888,2460659.164744683,2460659.1838096282
2024-12-15,2460659.7109847018,2460659.6921480144,2460659.6730828164,2460660.146283945,2460660.1651232596,2460660.184193397
2024-12-16,2460660.711285721,2460660.6924434355,2460660.6733720666,2460661.146652584,2460661.1654974166,2460661.1845717127
2024-12-17,2460661.7115953104,2460661.6927484274,2460661.6736719967,2460662.147017465,2460662.1658668034,2460662.18494611
2024-12-18,2460662.7119131545,2460662.693062687,2460662.6739823166,2460663.1473782384,2460663.166231061,2460663.185314243
2024-12-19,2460663.712238925,2460663.693385896,2460663.67430272,2460664.147734542,2460664.16658982,2460664.185675737
2024-12-20,2460664.7125722803,2460664.69371772,2460664.6746321563,2460665.1480860035,2460665.1669427035,2460665.186030209
2024-12-21,2460665.712912862,2460665.6940578087,2460665.6749699134,2460666.1484322427,2460666.1672893283,2460666.186377274
2024-12-22,2460666.713260302,2460666.694405795,2460666.6753166607,2460667.1487728716,2460667.1676293057,2460667.1867165435
2024-12-23,2460667.713614217,2460667.6947607393,2460667.6756720226,2460668.1491074967,2460668.167962245,2460668.187047628
2024-12-24,2460668.713974216,2460668.6951218047,2460668.67603561,2460669.149435722,2460669.168287753,2460669.1873701406
2024-12-25,2460669.7143398994,2460669.6954895537,2460669.6764070205,2460670.149757147,2460670.1686054366,2460670.1876836945
2024-12-26,2460670.714710858,2460670.695863576,2460670.6767858393,2460671.150071371,2460671.168914903,2460671.1879879064
2024-12-27,2460671.715085557,2460671.696243452,2460671.6771716396,2460672.150377991,2460672.1692157597,2460672.1882823966
2024-12-28,2460672.715464484,2460672.696628752,2460672.677563984,2460673.1506766044,2460673.169507617,2460673.1885667876
2024-12-29,2460673.7158474,2460673.697019039,2460673.6779624224,2460674.1509668063,2460674.1697900845,2460674.188840706
2024-12-30,2460674.716233874,2460674.697413867,2460674.6783664958,2460675.151249023,2460675.1700627753,2460675.189103783
2024-12-31,2460675.71662347,2460675.697812784,2460675.678775736,2460676.1515221163,2460676.1703253053,2460676.189355655
2025-01-01,2460676.7170157507,2460676.698215335,2460676.679189671,2460677.151785549,2460677.1705772965,2460677.189595966
2025-01-02,2460677.71741028,2460677.698621066,2460677.679607824,2460678.1520389277,2460678.1708183805,2460678.1898243707
2025-01-03,2460678.71780663,2460678.699029525,2460678.6800297224,2460679.152281874,2460679.171048202,2460679.19004054
2025-01-04,2460679.718204382,2460679.6994402716,2460679.680454901,2460680.1525140246,2460680.1712669455,2460680.190244165
2025-01-05,2460680.718603134,2460680.6998528773,2460680.6808829037,2460681.152735038,2460681.1714741015,2460681.1904349606
2025-01-06,2460681.7190025016,2460681.7002669307,2460681.681312755,2460682.152944598,2460682.1716689947,2460682.190612671
2025-01-07,2460682.719402121,2460682.7006820394,2460682.6817429042,2460683.153142415,2460683.1718513668,2460683.1907770694
2025-01-08,2460683.719801651,2460683.70109783,2460683.682174608,2460684.153328227,2460684.172020987,2460684.1909279586
2025-01-09,2460684.720200773,2460684.701513257,2460684.6826074873,2460685.1535017993,2460685.1721776538,2460685.1910651713
2025-01-10,2460685.7205991913,2460685.7019277,2460685.683041181,2460686.153662921,2460686.17232119,2460686.191188566
2025-01-11,2460686.7209966322,2460686.7023418476,2460686.6834753486,2460687.153811404,2460687.1724514426,2460687.1912981365
2025-01-12,2460687.7213928425,2460687.7027554144,2460687.683909668,2460688.1539470777,2460688.1725682747,2460688.191394021
2025-01-13,2460688.721786582,2460688.703168132,2460688.6843438344,2460689.1540697855,2460689.1726715667,2460689.191475708
2025-01-14,2460689.722178378,2460689.7035797457,2460689.684777554,2460690.1541793817,2460690.172761209,2460690.1915431265
2025-01-15,2460690.722568295,2460690.703990012,2460690.685210546,2460691.1542757307,2460691.1728371005,2460691.1915962137
2025-01-16,2460691.722956133,2460691.704398694,2460691.6856425344,2460692.1543587022,2460692.172899149,2460692.191634916
2025-01-17,2460692.7233416997,2460692.7048055613,2460692.6860732473,2460693.154428174,2460693.172947269,2460693.1916591865
2025-01-18,2460693.7237248053,2460693.7052103854,2460693.6865024175,2460694.154484028,2460694.172981381,2460694.1916689854
2025-01-19,2460694.7241052645,2460694.7056129426,2460694.686929779,2460695.1545261564,2460695.173001414,2460695.1916642818
2025-01-20,2460695.7244828963,2460695.7060130117,2460695.6873550694,2460696.154554455,2460696.1730073043,2460696.1916450523
2025-01-21,2460696.7248575245,2460696.706410377,2460696.6877780296,2460697.1545688305,2460697.1729989955,2460697.1916112807
2025-01-22,2460697.725228979,2460697.7068048264,2460697.6881971727,2460698.1545691956,2460698.1729764408,2460698.191562962
2025-01-23,2460698.7255970933,2460698.7071961537,2460698.6886128946,2460699.1545554725,2460699.172939601,2460699.1915000966
2025-01-24,2460699.7259617085,2460699.7075841585,2460699.689025584,2460700.154527591,2460700.172888445,2460700.191422696
2025-01-25,2460700.726322669,2460700.7079686443,2460700.6894350047,2460701.154485488,2460701.17282295,2460701.191330777
2025-01-26,2460701.726679825,2460701.7083484125,2460701.689840924,2460702.1544291065,2460702.172743098,2460702.1912245713
2025-01-27,2460702.727033029,2460702.7087240303,2460702.690243113,2460703.1543583954,2460703.172648877,2460703.1911041774
2025-01-28,2460703.727382134,2460703.7090956056,2460703.690641344,2460704.1542733083,2460704.1725402786,2460704.1909693927
2025-01-29,2460704.7277269997,2460704.709462958,2460704.6910353946,2460705.154173802,2460705.1724173003,2460705.1908202507
2025-01-30,2460705.728067488,2460705.7098259116,2460705.6914250464,2460706.1540598418,2460706.1722799437,2460706.190656791
2025-01-31,2460706.7284029177,2460706.7101842994,2460706.691810091,2460707.153931401,2460707.172128221,2460707.190479061
