,time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2024-11-20,2024-11-20,2460634.707098915,2460634.688664514,2460634.6700435495,2460635.136872269,2460635.1553256707,2460635.173965603
2024-11-21,2024-11-21,2460635.707094219,2460635.6886373926,2460635.669991227,2460636.1372228954,2460636.1556986943,2460636.1743637957
2024-11-22,2024-11-22,2460636.7071042396,2460636.688625207,2460636.669954168,2460637.1375776045,2460637.1560755074,2460637.1747654118
2024-11-23,2024-11-23,2460637.7071289048,2460637.688627924,2460637.669932381,2460638.137937307,2460638.156455894,2460638.1751701925
2024-11-24,2024-11-24,2460638.707168122,2460638.6886454877,2460638.6699258494,2460639.138300764,2460639.156839618,2460639.17557786
2024-11-25,2024-11-25,2460639.707221778,2460639.688677822,2460639.6699345377,2460640.138667739,2460640.1572264237,2460640.175988117
2024-11-26,2024-11-26,2460640.7072897395,2460640.6887248307,2460640.6699583894,2460641.1390379956,2460641.1576160393,2460641.176400649
2024-11-27,2024-11-27,2460641.7073718524,2460641.6887863977,2460641.6699973275,2460642.139411281,2460642.158009307,2460642.176815126
2024-11-28,2024-11-28,2460642.707467944,2460642.688862386,2460642.6700512543,2460643.139787323,2460643.1584052052,2460643.177231201
2024-11-29,2024-11-29,2460643.707577821,2460643.688952639,2460643.670120052,2460644.1401658314,2460644.15880301,2460644.1776485103
2024-11-30,2024-11-30,2460644.7077012705,2460644.6890569795,2460644.670203582,2460645.1405465016,2460645.1592023773,2460645.178067734
2024-12-01,2024-12-01,2460645.707838061,2460645.6891752114,2460645.6703016846,2460646.1409290098,2460646.1596029485,2460646.1784884394
2024-12-02,2024-12-02,2460646.7079879423,2460646.6893071197,2460646.670414182,2460647.1413130183,2460647.160004351,2460647.1789092124
2024-12-03,2024-12-03,2460647.708150328,2460647.689452472,2460647.670540878,2460648.1416981774,2460648.1604062,2460648.179329632
2024-12-04,2024-12-04,2460648.7083249935,2460648.689611022,2460648.6706815613,2460649.1420841245,2460649.1608081018,2460649.17974927
2024-12-05,2024-12-05,2460649.7085118624,2460649.6897825105,2460649.670836006,2460650.1424704916,2460650.1612096555,2460650.180167693
2024-12-06,2024-12-06,2460650.708710635,2460650.689966668,2460650.671003976,2460651.1428569052,2460651.1616104585,2460651.1805844666
2024-12-07,2024-12-07,2460651.708921006,2460651.690163219,2460651.6711852266,2460652.1432429915,2460652.162010108,2460652.1809991584
2024-12-08,2024-12-08,2460652.709142666,2460652.6903718826,2460652.671379508,2460653.14362838,2460653.1624082075,2460653.181411343
2024-12-09,2024-12-09,2460653.7093753046,2460653.6905923756,2460653.6715865647,2460654.144012705,2460654.162804367,2460654.1818206063
2024-12-10,2024-12-10,2460654.7096186136,2460654.690824413,2460654.6718061394,2460655.144395957,2460655.1631982084,2460655.182226546
2024-12-11,2024-12-11,2460655.7098722877,2460655.6910677142,2460655.6720379745,2460656.144778409,2460656.1635893662,2460656.182628775
2024-12-12,2024-12-12,2460656.7101360234,2460656.6913219965,2460656.6722818115,2460657.145158752,2460657.163977487,2460657.1830269215
2024-12-13,2024-12-13,2460657.7104095235,2460657.6915869815,2460657.6725373925,2460658.145536656,2460658.164362228,2460658.183420626
2024-12-14,2024-12-14,2460658.710692492,2460658.6918623913,2460658.6728044595,2460659.1459117983,2460659.164744592,2460659.1838095365
2024-12-15,2024-12-15,2460659.7109846333,2460659.6921479474,2460659.6730827503,2460660.1462838533,2460660.165123167,2460660.1841933033
2024-12-16,2024-12-16,2460660.7112856507,2460660.692443366,2460660.673371998,2460661.146652491,2460661.1654973226,2460661.184571617
2024-12-17,2024-12-17,2460661.711595238,2460661.6927483566,2460661.673671927,2460662.147017371,2460662.1658667084,2460662.184946013
2024-12-18,2024-12-18,2460662.7119130814,2460662.6930626146,2460662.673982246,2460663.147378143,2460663.1662309645,2460663.185314146
2024-12-19,2024-12-19,2460663.712238851,2460663.693385822,2460663.674302648,2460664.147734446,2460664.1665897225,2460664.1856756383
2024-12-20,2024-12-20,2460664.7125722044,2460664.693717645,2460664.6746320827,2460665.148085906,2460665.166942605,2460665.186030109
2024-12-21,2024-12-21,2460665.712912784,2460665.694057731,2460665.6749698375,2460666.148432143,2460666.1672892272,2460666.186377172
2024-12-22,2024-12-22,2460666.7132602204,2460666.6944057145,2460666.6753165815,2460667.1487727687,2460667.167629202,2460667.1867164383
2024-12-23,2024-12-23,2460667.713614132,2460667.6947606555,2460667.6756719397,2460668.149107391,2460668.167962138,2460668.18704752
2024-12-24,2024-12-24,2460668.713974128,2460668.6951217176,2460668.6760355243,2460669.149435614,2460669.168287644,2460669.18737003
2024-12-25,2024-12-25,2460669.7143398086,2460669.6954894643,2460669.676406932,2460670.1497570365,2460670.1686053253,2460670.1876835823
2024-12-26,2024-12-26,2460670.7147107655,2460670.6958634844,2460670.6767857485,2460671.150071259,2460671.16891479,2460671.1879877923
2024-12-27,2024-12-27,2460671.7150854627,2460671.6962433583,2460671.677171547,2460672.1503778775,2460672.1692156456,2460672.188282281
2024-12-28,2024-12-28,2460672.715464387,2460672.6966286567,2460672.677563889,2460673.15067649,2460673.169507501,2460673.1885666708
2024-12-29,2024-12-29,2460673.7158473018,2460673.6970189414,2460673.6779623255,2460674.1509666895,2460674.169789967,2460674.1888405876
2024-12-30,2024-12-30,2460674.716233773,2460674.6974137663,2460674.678366396,2460675.1512489035,2460675.170062655,2460675.189103662
2024-12-31,2024-12-31,2460675.716623366,2460675.6978126806,2460675.6787756337,2460676.1515219947,2460676.1703251833,2460676.189355532
2025-01-01,2025-01-01,2460676.717015644,2460676.6982152294,2460676.6791895656,2460677.1517854254,2460677.1705771727,2460677.1895958413
2025-01-02,2025-01-02,2460677.7174101714,2460677.698620958,2460677.679607717,2460678.152038803,2460678.1708182553,2460678.1898242445
2025-01-03,2025-01-03,2460678.717806519,2460678.699029415,2460678.680029613,2460679.152281747,2460679.171048075,2460679.190040412
2025-01-04,2025-01-04,2460679.718204269,2460679.6994401594,2460679.680454789,2460680.152513897,2460680.171266817,2460680.190244036
2025-01-05,2025-01-05,2460680.7186030196,2460680.6998527637,2460680.680882791,2460681.1527349087,2460681.171473971,2460681.1904348303
2025-01-06,2025-01-06,2460681.719002385,2460681.7002668153,2460681.681312641,2460682.152944468,2460682.171668864,2460682.1906125396
2025-01-07,2025-01-07,2460682.719402003,2460682.700681922,2460682.6817427883,2460683.153142283,2460683.171851234,2460683.1907769362
2025-01-08,2025-01-08,2460683.7198015307,2460683.7010977105,2460683.68217449,2460684.1533280937,2460684.172020853,2460684.190927824
2025-01-09,2025-01-09,2460684.720200651,2460684.701513136,2460684.682607367,2460685.1535016648,2460685.1721775183,2460685.1910650358
2025-01-10,2025-01-10,2460685.720599068,2460685.701927577,2460685.683041059,2460686.1536627854,2460686.1723210537,2460686.1911884295
2025-01-11,2025-01-11,2460686.720996507,2460686.7023417233,2460686.6834752248,2460687.153811267,2460687.1724513047,2460687.1912979977
2025-01-12,2025-01-12,2460687.721392715,2460687.7027552878,2460687.6839095424,2460688.1539469385,2460688.172568135,2460688.19139388
2025-01-13,2025-01-13,2460688.721786452,2460688.703168003,2460688.684343706,2460689.1540696444,2460689.172671425,2460689.1914755655
2025-01-14,2025-01-14,2460689.722178247,2460689.703579615,2460689.6847774237,2460690.15417924,2460690.1727610664,2460690.1915429835
2025-01-15,2025-01-15,2460690.7225681627,2460690.70398988,2460690.6852104147,2460691.1542755887,2460691.1728369575,2460691.1915960703
2025-01-16,2025-01-16,2460691.7229560004,2460691.7043985617,2460691.685642402,2460692.1543585607,2460692.172899007,2460692.191634773
2025-01-17,2025-01-17,2460692.723341567,2460692.7048054286,2460692.6860731156,2460693.154428032,2460693.172947127,2460693.1916590435
2025-01-18,2025-01-18,2460693.723724672,2460693.7052102527,2460693.6865022853,2460694.1544838874,2460694.17298124,2460694.1916688434
2025-01-19,2025-01-19,2460694.724105132,2460694.7056128103,2460694.6869296473,2460695.154526016,2460695.1730012735,2460695.1916641407
2025-01-20,2025-01-20,2460695.7244827636,2460695.7060128795,2460695.6873549377,2460696.1545543154,2460696.1730071637,2460696.1916449107
