starname,program_code,ra,dec,vmag,teff,jmag,pmra,pmdec,gaia_id,exptime,n_exp,n_intra_max,n_intra_min,n_inter_max,tau_intra,tau_inter,gmag
125217,LIBR,214.60936022153300,-19.56253362100270,8.0,4875,6.5,-17.6,-27.3,Gaia DR3 6283982872870158336,255,1,1,1,1,0,1,8.0
125612,LIBR,215.22270948133,-17.4818240911491,8.2,5753,7.2,-60.26,-67.31,Gaia DR3 6296703260330865536,266,1,1,1,1,0,1,8.2
126583,LIBR,216.49137239120400,13.432699252754700,7.9,5425,6.7,-296.88,-126.81,Gaia DR3 1227659299972032128,173,1,1,1,1,0,1,7.9
126990,LIBR,216.99263756223200,35.57680829794440,7.2,5025,5.8,66.86,-88.49,Gaia DR3 1480351604889729792,103,1,1,1,1,0,1,7.2
126868,LIBR,217.0499617322940,-2.227972894104620,4.6,5477,3.5,-138.73,-3.34,Gaia DR3 3649422995468596480,12,1,1,1,1,0,1,4.6
126991,LIBR,217.0657496027660,24.518079188918900,7.7,5863,6.4,-231.81,120.72,Gaia DR3 1255176468242823552,135,1,1,1,1,0,1,7.7
WASP-14,LIBR,218.27662916581800,21.89468654650300,9.7,6477,8.9,29.43,-6.86,Gaia DR3 1242084170974175232,937,1,1,1,1,0,1,9.7
128095,LIBR,218.57261664184600,28.485521346073100,7.9,5048,6.5,46.19,-108.8,Gaia DR3 1281025127618664832,220,1,1,1,1,0,1,7.9
128720,LIBR,219.5241066481910,12.803303684262700,8.0,4951,6.6,18.38,-70.09,Gaia DR3 1179488699126909056,257,1,1,1,1,0,1,8.0
129601,LIBR,220.55254112413600,39.408256978535800,7.9,4807,6.3,-17.96,49.71,Gaia DR3 1487256778429638912,227,1,1,1,1,0,1,7.9
130048,LIBR,221.55622272933,-7.797025225544700,6.9,4838,5.4,-8.9,-14.96,Gaia DR3 6327509583276135168,78,1,1,1,1,0,1,6.9
131183,LIBR,223.15353676106600,-25.45527111535840,7.7,5556,6.6,-197.49,-113.87,Gaia DR3 6229116521090364160,166,1,1,1,1,0,1,7.7
131496,LIBR,223.34615593195700,18.235257126749800,7.5,4762,6.0,43.74,-33.87,Gaia DR3 1236429004715336576,146,1,1,1,1,0,1,7.5
132254,LIBR,224.0967635077350,49.62744567978030,5.5,6151,4.7,111.04,-225.96,Gaia DR3 1592338513445876608,17,1,1,1,1,0,1,5.5
133125,LIBR,225.57934505088100,19.39054609935040,8.6,5478,7.5,-71.93,-11.09,Gaia DR3 1212955599693310848,400,1,1,1,1,0,1,8.6
WASP-24,LIBR,227.21549518764600,2.34328479526886,11.4,6163,10.5,-16.74,-8.56,Gaia DR3 1153682508388170112,3600,1,1,1,1,0,1,11.4
134353,LIBR,227.21582762668100,19.038470857683900,8.1,5201,6.8,-153.65,-35.63,Gaia DR3 1212738995903148544,250,1,1,1,1,0,1,8.1
HIP74346,LIBR,227.90960841679800,53.5559045014947,9.3,4955,8.0,-138.58,130.01,Gaia DR3 1599293061929711104,626,1,1,1,1,0,1,9.3
135872,LIBR,229.4213530419530,-5.202475430297550,7.0,4961,5.7,-81.01,-13.83,Gaia DR3 6334990316794611200,89,1,1,1,1,0,1,7.0
136274,LIBR,229.74325865877300,25.6911921825752,7.8,5326,6.5,-564.2,-125.05,Gaia DR3 1270321278844517888,151,1,1,1,1,0,1,7.8
136202,LIBR,229.82997775153600,1.763125183445370,4.9,6015,4.3,372.22,-513.48,Gaia DR3 4421455530273900032,12,1,1,1,1,0,1,4.9
136513,LIBR,230.21624003926700,7.682649169026910,8.0,5104,6.5,-47.59,-14.17,Gaia DR3 1163695687767834112,246,1,1,1,1,0,1,8.0
139907,LIBR,234.76265488257600,43.86664774869330,8.5,5789,7.5,-105.24,30.74,Gaia DR3 1391311572723712640,366,1,1,1,1,0,1,8.5
140025,LIBR,234.93843768313000,44.31091938227570,8.0,5524,6.9,1.26,-60.51,Gaia DR3 1397340057539692288,242,1,1,1,1,0,1,8.0
141399,LIBR,236.7235171822520,46.986288842355800,7.0,5449,5.9,-108.12,6.04,Gaia DR3 1398218223733415552,85,1,1,1,1,0,1,7.0
141272,LIBR,237.0386473010160,1.5710024915264800,7.2,5202,6.0,-176.04,-166.1,Gaia DR3 4422809716282811776,101,1,1,1,1,0,1,7.2
142091,LIBR,237.8079996433770,35.65583336071890,4.5,4766,3.0,-8.67,-348.35,Gaia DR3 1372702716380418688,12,1,1,1,1,0,1,4.5
142626,LIBR,238.26959084641300,53.87024153684490,8.1,5199,6.7,125.02,-176.99,Gaia DR3 1597204161635741952,216,1,1,1,1,0,1,8.1
143174,LIBR,239.4042410676220,32.40940993113700,8.5,5816,7.5,-57.66,85.58,Gaia DR3 1321735988747037824,363,1,1,1,1,0,1,8.5
